RT,Condition,RDK,Subj
690,1,1,1
788,1,1,1
933,1,1,1
707,1,1,1
800,1,1,1
542,1,1,1
817,1,1,1
632,1,1,1
742,1,1,1
674,1,1,1
826,1,1,1
808,1,1,1
855,1,1,1
1090,1,1,1
1148,1,1,1
1047,1,1,1
840,1,1,1
323,1,1,1
523,1,1,1
865,1,1,1
988,1,1,1
1018,1,1,1
1024,1,1,1
1266,1,1,1
1157,1,1,1
915,1,1,1
809,1,1,1
809,1,1,1
907,1,1,1
855,1,1,1
756,1,1,1
682,1,1,1
489,1,1,1
839,1,1,1
625,1,1,1
723,1,1,1
698,1,1,1
881,1,1,1
914,1,1,1
846,1,1,1
616,1,1,1
1016,1,1,1
948,1,1,1
771,1,1,1
915,1,1,1
756,1,1,1
799,1,1,1
832,1,1,1
979,1,1,1
1000,1,1,1
607,1,1,1
572,1,1,1
424,1,1,1
772,1,1,1
639,1,1,1
681,1,1,1
673,1,1,1
523,1,1,1
654,1,1,1
890,1,1,1
972,1,1,1
832,1,1,1
817,1,1,1
681,1,1,1
987,1,1,1
1180,1,1,1
882,1,1,1
865,1,1,1
880,1,1,1
934,1,1,1
906,1,1,1
922,1,1,1
1000,1,1,1
756,1,1,1
757,1,1,1
971,1,1,1
748,1,1,1
941,1,1,1
647,1,1,1
889,1,1,1
923,1,1,1
1039,1,1,1
963,1,1,1
800,1,1,1
941,1,1,1
665,1,1,1
1315,1,1,1
1008,1,1,1
1156,1,1,1
371,1,1,1
664,1,1,1
424,1,1,1
1163,1,1,1
1272,1,1,1
1031,1,1,1
839,1,1,1
824,1,1,1
831,1,1,1
855,1,1,1
714,1,1,1
839,1,1,1
808,1,1,1
840,1,1,1
448,1,1,1
558,1,1,1
673,1,1,1
581,1,1,1
525,1,1,1
665,1,1,1
441,1,1,1
771,1,1,1
733,1,1,1
773,1,1,1
600,1,1,1
725,1,1,1
789,1,1,1
923,1,1,1
949,1,1,1
1000,1,1,1
533,1,1,1
691,1,1,1
648,1,1,1
632,1,1,1
610,1,1,1
749,1,1,1
655,1,1,1
781,1,1,1
380,1,1,1
543,1,1,1
800,1,1,1
817,1,1,1
715,1,1,1
665,1,1,1
757,1,1,1
881,1,1,1
534,1,1,1
1315,1,1,1
734,1,1,1
543,1,1,1
715,1,1,1
832,1,1,1
874,1,1,1
816,1,1,1
841,1,1,1
655,1,1,1
882,1,1,1
757,1,1,1
1256,1,1,1
865,1,1,1
665,1,1,1
825,1,1,1
788,1,1,1
749,1,1,1
742,1,1,1
855,1,1,1
616,1,1,1
665,1,1,1
543,1,1,1
1010,1,1,1
789,1,1,1
389,1,1,1
841,1,1,1
943,1,1,1
723,1,1,1
708,1,1,1
610,1,1,1
800,1,1,1
749,1,1,1
950,1,1,1
464,1,1,1
589,1,1,1
572,1,1,1
1209,1,1,1
915,1,1,1
780,1,1,1
499,1,1,1
674,1,1,1
447,1,1,1
581,1,1,1
626,1,1,1
832,1,1,1
548,1,1,1
600,1,1,1
826,1,1,1
757,1,1,1
990,1,1,1
389,1,1,1
543,1,1,1
690,1,1,1
1064,1,1,1
1380,1,1,1
524,1,1,1
656,1,1,1
924,1,1,1
763,1,1,1
771,1,1,1
865,1,1,1
609,1,1,1
1024.99999999977,1,1,1
840.000000000233,1,1,1
655,1,1,1
689,1,1,1
740,1,1,1
672,1,1,1
898,1,1,1
906,1,1,1
772,1,1,1
664,1,1,1
854,1,1,1
816,1,1,1
846,1,1,1
664,1,1,1
763,1,1,1
388,1,1,1
706,1,1,1
865,1,1,1
756,1,1,1
1172,1,1,1
971,1,1,1
617,1,1,1
698,1,1,1
600,1,1,1
831,1,1,1
690,1,1,1
631,1,1,1
864,1,1,1
840,1,1,1
1134,1,1,1
788,1,1,1
639,1,1,1
716,1,1,1
589,1,1,1
724,1,1,1
572,1,1,1
542,1,1,1
548,1,1,1
490,1,1,1
609,1,1,1
788,1,1,1
881,1,1,1
908,1,1,1
665,1,1,1
626,1,1,1
617,1,1,1
655,1,1,1
810,1,1,1
665,1,1,1
773,1,1,1
516,1,1,1
666,1,1,1
626,1,1,1
626,1,1,1
674,1,1,1
923,1,1,1
841,1,1,1
816,1,1,1
891,1,1,1
874,1,1,1
772,1,1,1
631,1,1,1
725,1,1,1
890,1,1,1
933,1,1,1
817,1,1,1
646,1,1,1
763,1,1,1
748,1,1,1
723,1,1,1
709,1,1,1
801,1,1,1
610,1,1,1
715,1,1,1
866,1,1,1
826,1,1,1
665,1,1,1
781,1,1,1
724,1,1,1
691,1,1,1
440,1,1,1
626,1,1,1
708,1,1,1
781,1,1,1
891,1,1,1
674,1,1,1
724,1,1,1
748,1,1,1
780,1,1,1
733,1,1,1
655,1,1,1
891,1,1,1
648,1,1,1
626,1,1,1
656,1,1,1
724,1,1,1
690,1,1,1
816,1,1,1
963,1,1,1
987,1,1,1
640,1,1,1
956,1,1,1
733,1,1,1
388,1,1,1
600,1,1,1
432,1,1,1
631,1,1,1
690,1,1,1
855,1,1,1
741,1,1,1
665,1,1,1
639,1,1,1
514,1,1,1
763,1,1,1
772,1,1,1
898,1,1,1
763,1,1,1
1298,1,1,1
962,1,1,1
1281,1,1,1
616,1,1,1
632,1,1,1
756,1,1,1
665,1,1,1
624,1,1,1
616,1,1,1
689,1,1,1
625,1,1,1
673,1,1,1
572,1,1,1
632,1,1,1
608,1,1,1
881,1,1,1
906,1,1,1
881,1,1,1
571,1,1,1
1148,1,1,1
898,1,1,1
1208,1,1,1
608,1,1,1
1239,1,1,1
734,1,1,1
698,1,1,1
682,1,1,1
979,1,1,1
1082,1,2,1
1074,1,2,1
1149,1,2,1
808,1,2,1
722,1,2,1
1025,1,2,1
989,1,2,1
1009,1,2,1
733,1,2,1
907,1,2,1
898,1,2,1
1000,1,2,1
1024,1,2,1
1399,1,2,1
600,1,2,1
962,1,2,1
1133,1,2,1
1254,1,2,1
922,1,2,1
1090,1,2,1
963,1,2,1
962,1,2,1
865,1,2,1
1116,1,2,1
714,1,2,1
1000,1,2,1
690,1,2,1
882,1,2,1
764,1,2,1
682,1,2,1
558,1,2,1
773,1,2,1
633,1,2,1
626,1,2,1
533,1,2,1
882,1,2,1
571,1,2,1
826,1,2,1
763,1,2,1
